product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/asian-grey-sports-gym-walking-training-stylish-running-shoes-women/p/itm8b461c6433a0b?pid=SHOGPDGUKGYPZNBF&lid=LSTSHOGPDGUKGYPZNBF5HICIW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_18&otracker=search&otracker1=search&fm=Search&iid=en_cYuicL4I37zQH7DqQESxs_zA2bU_dBeepupu35tDkaQV-jU1EsVgU_HsGEx8KiJ9_TDVgse4OTu1w0K_qooOxvKSJvID5C-RdFfAlzwDiqI%3D&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,"Grey Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian ,799,0.23,4.2,98386
https://www.flipkart.com/walkaroo-running-shoes-women/p/itm670c7cf3230e9?pid=SHOHHGJNRZFZEGAU&lid=LSTSHOHHGJNRZFZEGAU8RYHQF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_20&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOHHGJNRZFZEGAU.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Running Shoes For Women,WALKAROO ,629,,,
https://www.flipkart.com/red-tape-women-s-athleisure-sports-shoes-active-everyday-style-walking-women/p/itmdfc93ac187309?pid=SHOHFMMNBRCBBDRU&lid=LSTSHOHFMMNBRCBBDRUXBYLVL&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_25&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOHFMMNBRCBBDRU.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Women's Athleisure Sports Shoes for Active Everyday Style Walking Shoes For Women,RED TAPE ,1158,0.81,4.3,3308
https://www.flipkart.com/asian-mercury-11-navy-sports-gym-walking-training-stylish-running-shoes-women/p/itm9c86b2882cdb8?pid=SHOGPDGU9EVRYWH2&lid=LSTSHOGPDGU9EVRYWH2LRPDC0&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_28&otracker=search&otracker1=search&fm=Search&iid=en_cYuicL4I37zQH7DqQESxs_zA2bU_dBeepupu35tDkaSMLs8CvZNi9KY46h1dK0OMVCdcTBTfKxIS4CTp1c4s2SqhaHrzSI4OjvZa1DRoeKc%3D&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,"Mercury-11 Navy Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian ,799,0.23,4.2,98386
https://www.flipkart.com/lotto-energex-running-shoes-women/p/itmdeab2adf00203?pid=SHOHGXJZYKX3WCPP&lid=LSTSHOHGXJZYKX3WCPPFY7APN&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_30&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOHGXJZYKX3WCPP.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Energex Running Shoes For Women,LOTTO ,2579,0.57,,
https://www.flipkart.com/asian-cute-sports-shoes-women-running-girls-stylish-latest-design-new-fashion-casual-sneakers-ladies-lace-up-lightweight-peach-jogging-walking-gym-party/p/itmb152f91cc5259?pid=SHOFMY6JBUM6QFUG&lid=LSTSHOFMY6JBUM6QFUGJFVCRR&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_37&otracker=search&otracker1=search&fm=Search&iid=en_cYuicL4I37zQH7DqQESxs_zA2bU_dBeepupu35tDkaTkXCmIz0rjyt6R4O_sLMxSf1h7WROZb9_1gCXFbaffQb3nN5BP0oUQf7sdSRT1im4%3D&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,"Cute sports shoes for women | Running shoes for girls stylish latest design new fashion | casual sneakers for ladies | Lace up Lightweight peach shoes for jogging, walking, gym & party Running Shoes For Women",asian ,669,0.16,4.2,98386
https://www.flipkart.com/asian-running-shoes-women/p/itm9c86b2882cdb8?pid=SHOGPDFBW4EC2S9B&lid=LSTSHOGPDFBW4EC2S9BVUP5OJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_39&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOGPDFBW4EC2S9B.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Running Shoes For Women,asian ,799,0.23,4.2,98386
https://www.flipkart.com/fabbmate-sneakers-women/p/itm2e9833e6cdcd8?pid=SHOHEMCYV7KMMZ6Z&lid=LSTSHOHEMCYV7KMMZ6ZLOLVOC&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_41&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXUIi4Sudqa5h9p7M4JDEs9GbFZ1UhW7ZVl3C_pXqF8mCzg%3D%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,Sneakers For Women,Fabbmate ,466,0.53,3.8,3088
https://www.flipkart.com/avant-reva-running-shoe-breathable-mesh-upper-cushioned-comfort-high-traction-adoptive-shoes-women/p/itm0663889880e2d?pid=SHOHC5GK7NDGXEZQ&lid=LSTSHOHC5GK7NDGXEZQHFNG2X&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_42&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXUKYy5NCeqXdQ1VhsDK0fl5N8D1YeP_RZyEBqgCiutqY1vUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,Reva Running Shoe Breathable Mesh Upper Cushioned Comfort High Traction Adoptive Running Shoes For Women,AVANT ,859,0.33,4,116
https://www.flipkart.com/cult-active-running-shoes-breathable-mesh-upper-enhanced-cushioning-shoes-women/p/itm9bae17daa96fa?pid=SHOHCTM3V63UADXZ&lid=LSTSHOHCTM3V63UADXZKYY9WP&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_47&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXUKeLhcK8W8K0D2NLf-0w7i7Aj1mBX2dZRP9iaXYE7qeSPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,"Active Running Shoes, Breathable Mesh Upper, Enhanced Cushioning Running Shoes For Women",Cult ,2199,0.56,4.4,130
