product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/fabbmate-sneakers-women/p/itm2e9833e6cdcd8?pid=SHOHEMCYV7KMMZ6Z&lid=LSTSHOHEMCYV7KMMZ6ZLOLVOC&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=en_cYuicL4I37zQH7DqQESxs_zA2bU_dBeepupu35tDkaQKtdVoshRC2NGFT0Q5JJ9GFZ1UhW7ZVl3C_pXqF8mCzg%3D%3D&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Sneakers For Women,Fabbmate ,466,0.53,3.8,3088
https://www.flipkart.com/asian-running-shoes-women/p/itm757bfa6a08281?pid=SHOH77PEH6TSQYZT&lid=LSTSHOH77PEH6TSQYZTCMGJCF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=en_cYuicL4I37zQH7DqQESxs_zA2bU_dBeepupu35tDkaTCvTohUVEWKkZew0qwqlwma6e4zMpf48WwFV8JgGadcvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Running Shoes For Women,asian ,791,0.39,4.2,183
https://www.flipkart.com/red-tape-women-s-athleisure-sports-shoes-active-everyday-style-walking-women/p/itm5b2f4a85a0cf5?pid=SHOHFKMBKQBYWGZ3&lid=LSTSHOHFKMBKQBYWGZ3KWB8GG&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOHFKMBKQBYWGZ3.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Women's Athleisure Sports Shoes for Active Everyday Style Walking Shoes For Women,RED TAPE ,1158,0.81,4.3,3308
https://www.flipkart.com/friend-s-traders-women-s-mesh-sports-shoes-walking-running-women-sneakers-men/p/itm84deb8a57d1db?pid=SHOGUF22EQPHHBW8&lid=LSTSHOGUF22EQPHHBW8SQQK92&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOGUF22EQPHHBW8.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Women's Mesh Sports Shoes Walking Running Shoes For Women Sneakers For Men Running Shoes For Women,Friend's Traders ,436,0.77,3.3,4
https://www.flipkart.com/avant-reva-running-shoe-breathable-mesh-upper-cushioned-comfort-high-traction-adoptive-shoes-women/p/itm0663889880e2d?pid=SHOHC5GK7NDGXEZQ&lid=LSTSHOHC5GK7NDGXEZQHFNG2X&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=en_cYuicL4I37zQH7DqQESxs_zA2bU_dBeepupu35tDkaROVSG2MTyesgq31SPTlCuFgrKWxME8hKeJqT26x37ZwxhTy0lUJ14SzoMSv_CzLF0%3D&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Reva Running Shoe Breathable Mesh Upper Cushioned Comfort High Traction Adoptive Running Shoes For Women,AVANT ,859,0.33,4,116
https://www.flipkart.com/cult-active-running-shoes-breathable-mesh-upper-enhanced-cushioning-shoes-women/p/itm9bae17daa96fa?pid=SHOHCTM3V63UADXZ&lid=LSTSHOHCTM3V63UADXZKYY9WP&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=en_cYuicL4I37zQH7DqQESxs_zA2bU_dBeepupu35tDkaR7pzvdsP9BiwJ7t53EpAUDFD-tQpTe4knZNnSAmCj0r33Gaq_wzx4HJysDmGalzMk%3D&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,"Active Running Shoes, Breathable Mesh Upper, Enhanced Cushioning Running Shoes For Women",Cult ,2199,0.56,4.4,130
https://www.flipkart.com/asian-quantum-w-104-womens-running-walking-training-sports-shoes-running-women/p/itm18698b49f8110?pid=SHOHGYUYZ6Y3HZWY&lid=LSTSHOHGYUYZ6Y3HZWYE3IP8I&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOHGYUYZ6Y3HZWY.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,"Quantum W-104 Women’s Running, Walking & Training Sports Shoes Running Shoes For Women",asian ,1521,0.36,,
https://www.flipkart.com/oricum-premium-sports-walking-gym-cricket-trending-running-shoes-women-s-women/p/itmf29e9c779146c?pid=SHOHHFEBHGM9VH8Y&lid=LSTSHOHHFEBHGM9VH8YV019FF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOHHFEBHGM9VH8Y.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,"Premium Sports ,walking,Gym,cricket, Trending Running Shoes For Women's Running Shoes For Women",ORICUM ,417,0.58,,
https://www.flipkart.com/walkaroo-running-shoes-women/p/itm64673b004692c?pid=SHOHHGJMFZKRJEVW&lid=LSTSHOHHGJMFZKRJEVWBDOH8H&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOHHGJMFZKRJEVW.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Running Shoes For Women,WALKAROO ,629,,,
https://www.flipkart.com/asian-cute-sports-shoes-women-running-girls-stylish-latest-design-new-fashion-casual-sneakers-ladies-lace-up-lightweight-pink-jogging-walking-gym-party/p/itmfgnquqjghwjzc?pid=SHOEEF3Q6KWZSSHR&lid=LSTSHOEEF3Q6KWZSSHRQWSGMT&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOEEF3Q6KWZSSHR.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,"Cute sports shoes for women | Running shoes for girls stylish latest design new fashion | casual sneakers for ladies | Lace up Lightweight pink shoes for jogging, walking, gym & party Running Shoes For Women",asian ,669,0.16,4.2,98386
